regionid,regiontype,relativesignificance,subclass,regionname,regionnamelong,parentregionid
6295263,City,,,Bolton-Est,"Bolton-Est, Quebec, Canada",11183
6295264,City,,,Franquelin,"Franquelin, Quebec, Canada",11183
3000380793,City,,,Pierreville,"Pierreville, Quebec, Canada",11183
3000433454,City,,,Westbury,"Westbury, Quebec, Canada",11183
6295265,City,,,Godbout,"Godbout, Quebec, Canada",11183
6295274,City,,,Champlain,"Champlain, Quebec, Canada",11183
553248635740523821,City,,,Roquemaure,"Roquemaure, Quebec, Canada",11183
6346585,City,,,Melbourne,"Melbourne, Quebec, Canada",11183
3000382567,City,,,Bouchette,"Bouchette, Quebec, Canada",11183
3000438405,City,,,Canada,"Canada, Kentucky, United States of America",219
3000433841,City,,,Waltham,"Waltham, Quebec, Canada",11183
553248634990811300,City,,,Trécesson,"Trécesson, Quebec, Canada",11183
553248635519066829,City,,,Saint-Cyprien,"Saint-Cyprien, Canada",11183
553248635740514337,City,,,Blue Sea,"Blue Sea, Quebec, Canada",11183
553248635740525036,City,,,Marsoui,"Marsoui, Quebec, Canada",11183
553248635740525552,City,,,Saint-Clet,"Saint-Clet, Quebec, Canada",11183
553248635740532381,City,,,Upton,"Upton, Quebec, Canada",11183
553248634983540835,City,,,Canada Creek Ranch,"Canada Creek Ranch, Michigan, United States of America",224
553248635740532791,City,,,Coucoucache,"Coucoucache, Quebec, Canada",11183
3000443392,City,,,Little Canada,"Little Canada, Minnesota, United States of America",225
553248635740532796,City,,,Fassett,"Fassett, Quebec, Canada",11183
553248635740535086,City,,,Windsor,"Windsor, Quebec, Canada",11183
3000376120,City,,,New Sarepta,"New Sarepta, Alberta, Canada",11111
3000376122,City,,,Killam,"Killam, Alberta, Canada",11111
3000378291,City,,,Mount Engadine,"Mount Engadine, Alberta, Canada",11111
3000381146,City,,,McLennan,"McLennan, Alberta, Canada",11111
3000381539,City,,,Twin Butte,"Twin Butte, Alberta, Canada",11111
3000385492,City,,,Wandering River,"Wandering River, Alberta, Canada",11111
3000389150,City,,,Faust,"Faust, Alberta, Canada",11111
3000404870,City,,,Fawcett,"Fawcett, Alberta, Canada",11111
3000408099,City,,,Buck Lake,"Buck Lake, Alberta, Canada",11111
3000408139,City,,,La Crete,"La Crete, Alberta, Canada",11111
3000410283,City,,,Girouxville,"Girouxville, Alberta, Canada",11111
3000412220,City,,,Hardisty,"Hardisty, Alberta, Canada",11111
553248635740510669,Province (State),,,Rocky View County,"Rocky View County, Canada",11111
602291,High Level Region,,,Banff National Park,"Banff National Park, Alberta, Canada",11111
6057834,High Level Region,,,Canadian Rockies,"Canadian Rockies, Alberta, Canada",11111
6057835,High Level Region,,,Central Alberta,"Central Alberta, Alberta, Canada",11111
6057836,High Level Region,,,Northern Alberta,"Northern Alberta, Alberta, Canada",11111
6210058,High Level Region,,,Calgary-Edmonton Corridor,"Calgary-Edmonton Corridor, Alberta, Canada",11111
6049330,City,,,Rimbey,"Rimbey, Alberta, Canada",11111
4118,Multi-City (Vicinity),,,Medicine Hat (and vicinity),"Medicine Hat (and vicinity), Alberta, Canada",11111
55296,Multi-City (Vicinity),,,Drumheller (and vicinity),"Drumheller (and vicinity), Alberta, Canada",11111
178245,Multi-City (Vicinity),,,Calgary (and vicinity),"Calgary (and vicinity), Alberta, Canada",11111
180002,Multi-City (Vicinity),,,Edmonton (and vicinity),"Edmonton (and vicinity), Alberta, Canada",11111
181753,Multi-City (Vicinity),,,Waterton Park (and vicinity),"Waterton Park (and vicinity), Alberta, Canada",11111
6139537,Multi-City (Vicinity),,,Red Deer (and vicinity),"Red Deer (and vicinity), Alberta, Canada",11111
6139539,Multi-City (Vicinity),,,Camrose (and vicinity),"Camrose (and vicinity), Alberta, Canada",11111
6139542,Multi-City (Vicinity),,,Vermilion (and vicinity),"Vermilion (and vicinity), Alberta, Canada",11111
6139544,Multi-City (Vicinity),,,Bonnyville (and vicinity),"Bonnyville (and vicinity), Alberta, Canada",11111
6139547,Multi-City (Vicinity),,,Whitecourt (and vicinity),"Whitecourt (and vicinity), Alberta, Canada",11111
6139550,Multi-City (Vicinity),,,Grande Prairie (and vicinity),"Grande Prairie (and vicinity), Alberta, Canada",11111
6139552,Multi-City (Vicinity),,,Peace River (and vicinity),"Peace River (and vicinity), Alberta, Canada",11111
6139554,Multi-City (Vicinity),,,Olds (and vicinity),"Olds (and vicinity), Alberta, Canada",11111
6139556,Multi-City (Vicinity),,,Lethbridge (and vicinity),"Lethbridge (and vicinity), Alberta, Canada",11111
4001,City,,,Fort McMurray,"Fort McMurray, Alberta, Canada",11111
4022,City,,,High Level,"High Level, Alberta, Canada",11111
4024,City,,,Rainbow Lake,"Rainbow Lake, Alberta, Canada",11111
4042,City,,,Fort Chipewyan,"Fort Chipewyan, Alberta, Canada",11111
6204,City,,,Athabasca,"Athabasca, Alberta, Canada",11111
10115,City,,,Lake Louise,"Lake Louise, Alberta, Canada",11111
10131,City,,,Canmore,"Canmore, Alberta, Canada",11111
10550,City,,,Banff,"Banff, Alberta, Canada",11111
10565,City,,,Drayton Valley,"Drayton Valley, Alberta, Canada",11111
10578,City,,,Jasper,"Jasper, Alberta, Canada",11111
10606,City,,,Rocky Mountain House,"Rocky Mountain House, Alberta, Canada",11111
10626,City,,,Slave Lake,"Slave Lake, Alberta, Canada",11111
56404,City,,,Stettler,"Stettler, Alberta, Canada",11111
177413,City,,,Exshaw,"Exshaw, Alberta, Canada",11111
177434,City,,,Grande Cache,"Grande Cache, Alberta, Canada",11111
177767,City,,,Kananaskis,"Kananaskis, Alberta, Canada",11111
180428,City,,,Edson,"Edson, Alberta, Canada",11111
180429,City,,,Hinton,"Hinton, Alberta, Canada",11111
181731,City,,,Bashaw,"Bashaw, Alberta, Canada",11111
181735,City,,,Dead Man's Flats,"Dead Man's Flats, Alberta, Canada",11111
181737,City,,,Elk Point,"Elk Point, Alberta, Canada",11111
181739,City,,,Fox Creek,"Fox Creek, Alberta, Canada",11111
181740,City,,,High Prairie,"High Prairie, Alberta, Canada",11111
181745,City,,,Seebe,"Seebe, Alberta, Canada",11111
181754,City,,,Westlock,"Westlock, Alberta, Canada",11111
500752,City,,,Harvie Heights,"Harvie Heights, Alberta, Canada",11111
6046761,City,,,Provost,"Provost, Alberta, Canada",11111
6057684,City,,,Castle Junction,"Castle Junction, Alberta, Canada",11111
6057685,City,,,Sunshine,"Sunshine, Alberta, Canada",11111
6057695,City,,,Pocahontas,"Pocahontas, Alberta, Canada",11111
6060583,City,,,Jasper National Park South Entrance,"Jasper National Park South Entrance, Alberta, Canada",11111
6070008,City,,,Sunwapta Falls,"Sunwapta Falls, Alberta, Canada",11111
6078323,City,,,Johnston Canyon,"Johnston Canyon, Alberta, Canada",11111
6125368,City,,,Lac La Biche,"Lac La Biche, Alberta, Canada",11111
6139523,City,,,Bow Lake,"Bow Lake, Alberta, Canada",11111
6139536,City,,,Jasper East,"Jasper East, Alberta, Canada",11111
6220999,City,,,Barrhead,"Barrhead, Alberta, Canada",11111
6221737,City,,,Brule,"Brule, Alberta, Canada",11111
6260778,City,,,Vulcan,"Vulcan, Alberta, Canada",11111
6265164,City,,,Conklin,"Conklin, Alberta, Canada",11111
6294056,City,,,Wabamun,"Wabamun, Alberta, Canada",11111
6294059,City,,,Westerose,"Westerose, Alberta, Canada",11111
6294069,City,,,Viking,"Viking, Alberta, Canada",11111
6295181,City,,,Milk River,"Milk River, Alberta, Canada",11111
6297433,City,,,Spruce View,"Spruce View, Alberta, Canada",11111
6337367,City,,,Edmonton International Airport,"Edmonton International Airport, Alberta, Canada",11111
6338810,City,,,Manning,"Manning, Alberta, Canada",11111
6341504,City,,,Rochon Sands,"Rochon Sands, Alberta, Canada",11111
6341558,City,,,Bassano,"Bassano, Alberta, Canada",11111
6341560,City,,,Plamondon,"Plamondon, Alberta, Canada",11111
6341561,City,,,Smoky Lake,"Smoky Lake, Alberta, Canada",11111
6341563,City,,,Veteran,"Veteran, Alberta, Canada",11111
6341564,City,,,Youngstown,"Youngstown, Alberta, Canada",11111
6341600,City,,,Beiseker,"Beiseker, Alberta, Canada",11111
6341604,City,,,Ferintosh,"Ferintosh, Alberta, Canada",11111
6341693,City,,,Spirit River,"Spirit River, Alberta, Canada",11111
6342835,City,,,Fort MacKay,"Fort MacKay, Alberta, Canada",11111
6342907,City,,,Wabasca-Desmarais,"Wabasca-Desmarais, Alberta, Canada",11111
6342908,City,,,Red Earth Creek,"Red Earth Creek, Alberta, Canada",11111
6343772,City,,,Rampart Creek,"Rampart Creek, Alberta, Canada",11111
6346579,City,,,Rock Lake,"Rock Lake, Alberta, Canada",11111
6347447,City,,,Saskatchewan River Crossing,"Saskatchewan River Crossing, Alberta, Canada",11111
6347654,City,,,Bellis,"Bellis, Alberta, Canada",11111
6355197,City,,,Caroline,"Caroline, Alberta, Canada",11111
6355262,City,,,Spray Valley Provincial Park,"Spray Valley Provincial Park, Alberta, Canada",11111
6356502,City,,,Coronation,"Coronation, Alberta, Canada",11111
6357011,City,,,Consort,"Consort, Alberta, Canada",11111
6357517,City,,,Entwistle,"Entwistle, Alberta, Canada",11111
6358968,City,,,Cremona,"Cremona, Alberta, Canada",11111
6359286,City,,,Swan Hills,"Swan Hills, Alberta, Canada",11111
6360108,City,,,Water Valley,"Water Valley, Alberta, Canada",11111
3000008885,City,,,Winfield,"Winfield, Alberta, Canada",11111
3000008901,City,,,Vauxhall,"Vauxhall, Alberta, Canada",11111
3000009005,City,,,Red Willow,"Red Willow, Alberta, Canada",11111
3000009007,City,,,Raymond,"Raymond, Alberta, Canada",11111
3000009038,City,,,Normandeau,"Normandeau, Alberta, Canada",11111
3000009060,City,,,Mayerthorpe,"Mayerthorpe, Alberta, Canada",11111
3000009097,City,,,Jenner,"Jenner, Alberta, Canada",11111
3000009115,City,,,Granum,"Granum, Alberta, Canada",11111
3000009131,City,,,Ferrier,"Ferrier, Alberta, Canada",11111
3000369848,City,,,Nanton,"Nanton, Alberta, Canada",11111
3000370225,City,,,Onoway,"Onoway, Alberta, Canada",11111
3000418230,City,,,Castor,"Castor, Alberta, Canada",11111
3000419881,City,,,Lougheed,"Lougheed, Alberta, Canada",11111
3000432818,City,,,Bentley,"Bentley, Alberta, Canada",11111
3000434973,City,,,Pine Lake,"Pine Lake, Alberta, Canada",11111
3000436639,City,,,Furman,"Furman, Alberta, Canada",11111
3000436643,City,,,Irma,"Irma, Alberta, Canada",11111
3000438209,City,,,Daysland,"Daysland, Alberta, Canada",11111
3000438448,City,,,Fort Assiniboine,"Fort Assiniboine, Alberta, Canada",11111
3000438449,City,,,Patricia,"Patricia, Alberta, Canada",11111
3000439108,City,,,Fort Vermilion,"Fort Vermilion, Alberta, Canada",11111
3000442926,City,,,Gull Lake,"Gull Lake, Alberta, Canada",11111
3000444810,City,,,Forestburg,"Forestburg, Alberta, Canada",11111
3000445221,City,,,Rycroft,"Rycroft, Alberta, Canada",11111
3000445713,City,,,Ryley,"Ryley, Alberta, Canada",11111
3000446605,City,,,Boyle,"Boyle, Alberta, Canada",11111
3000446924,City,,,Kingman,"Kingman, Alberta, Canada",11111
3000446929,City,,,New Norway,"New Norway, Alberta, Canada",11111
3000446938,City,,,Mundare,"Mundare, Alberta, Canada",11111
3000447494,City,,,Beaver Mines,"Beaver Mines, Alberta, Canada",11111
3000451470,City,,,Legal,"Legal, Alberta, Canada",11111
3000452035,City,,,Nordegg,"Nordegg, Alberta, Canada",11111
3000454869,City,,,Beazer,"Beazer, Alberta, Canada",11111
3000458568,City,,,Flatbush,"Flatbush, Alberta, Canada",11111
3000458618,City,,,Ellscott,"Ellscott, Alberta, Canada",11111
3000466219,City,,,Egremont,"Egremont, Alberta, Canada",11111
3000466587,City,,,Ardmore,"Ardmore, Alberta, Canada",11111
3000467348,City,,,Gibbons,"Gibbons, Alberta, Canada",11111
3000468435,City,,,Big Valley,"Big Valley, Alberta, Canada",11111
3000469321,City,,,Morinville,"Morinville, Alberta, Canada",11111
3000470205,City,,,Foremost,"Foremost, Alberta, Canada",11111
3000470696,City,,,Falher,"Falher, Alberta, Canada",11111
3000471834,City,,,Empress,"Empress, Canada",11111
3000472077,City,,,Zama City,"Zama City, Alberta, Canada",11111
3000472314,City,,,Del Bonita,"Del Bonita, Alberta, Canada",11111
3000472673,City,,,Donalda,"Donalda, Alberta, Canada",11111
3000474327,City,,,Bow Island,"Bow Island, Alberta, Canada",11111
3000474896,City,,,Lundbreck,"Lundbreck, Alberta, Canada",11111
3000474900,City,,,Erskine,"Erskine, Alberta, Canada",11111
3000475740,City,,,Spring Lake,"Spring Lake, Alberta, Canada",11111
3000475844,City,,,Breton,"Breton, Alberta, Canada",11111
3000477505,City,,,Carvel,"Carvel, Alberta, Canada",11111
3000479400,City,,,Cluny,"Cluny, Alberta, Canada",11111
3000479403,City,,,Longview,"Longview, Alberta, Canada",11111
3000479935,City,,,Rockyford,"Rockyford, Alberta, Canada",11111
3000480282,City,,,Coutts,"Coutts, Alberta, Canada",11111
553248624818184446,City,,,Bruderheim,"Bruderheim, Alberta, Canada",11111
553248629501770228,City,,,Grassland,"Grassland, Alberta, Canada",11111
553248630965206091,City,,,Carstairs,"Carstairs, Alberta, Canada",11111
553248630965240429,City,,,Hillcrest Mines,"Hillcrest Mines, Alberta, Canada",11111
553248631353730447,City,,,Bighorn No. 8,"Bighorn No. 8, Alberta, Canada",11111
553248633193906027,City,,,Castle Mountain Resort,"Castle Mountain Resort, Alberta, Canada",11111
553248634015683312,City,,,Wembley,"Wembley, Alberta, Canada",11111
553248635740510378,City,,,Village of Acme,"Village of Acme, Alberta, Canada",11111
553248635740510385,City,,,Coalhurst,"Coalhurst, Alberta, Canada",11111
553248635740510392,City,,,Village of Linden,"Village of Linden, Alberta, Canada",11111
553248635740510399,City,,,Summer Village of Point Alison,"Summer Village of Point Alison, Wabamun, Alberta, Canada",11111
553248635740510439,City,,,Village of Delburne,"Village of Delburne, Alberta, Canada",11111
553248635740510446,City,,,Summer Village of Lakeview,"Summer Village of Lakeview, Alberta, Canada",11111
553248635740510453,City,,,Millet,"Millet, Alberta, Canada",11111
553248635740510460,City,,,Village of Dewberry,"Village of Dewberry, Alberta, Canada",11111
553248635740510467,City,,,Bowden,"Bowden, Alberta, Canada",11111
553248635740510474,City,,,Village of Waskatenau,"Village of Waskatenau, Alberta, Canada",11111
553248635740510481,City,,,Town of Two Hills,"Town of Two Hills, Alberta, Canada",11111
553248635740510488,City,,,Village of Willingdon,"Village of Willingdon, Alberta, Canada",11111
553248635740510495,City,,,Calmar,"Calmar, Alberta, Canada",11111
553248635740510608,City,,,Village of Myrnam,"Village of Myrnam, Alberta, Canada",11111
553248635740510615,City,,,Summer Village of Kapasiwin,"Summer Village of Kapasiwin, Alberta, Canada",11111
553248635740510622,City,,,Town of Irricana,"Town of Irricana, Alberta, Canada",11111
553248635740510629,City,,,Stony Plain 135,"Stony Plain 135, Alberta, Canada",11111
553248635740510648,City,,,Town of Magrath,"Town of Magrath, Alberta, Canada",11111
553248635740510655,City,,,Village of Chipman,"Village of Chipman, Alberta, Canada",11111
553248635740510662,City,,,Village of Andrew,"Village of Andrew, Alberta, Canada",11111
553248635740510702,City,,,Village of Vilna,"Village of Vilna, Alberta, Canada",11111
553248635740510709,City,,,Village of Marwayne,"Village of Marwayne, Alberta, Canada",11111
553248635740510716,City,,,Town of Sexsmith,"Town of Sexsmith, Alberta, Canada",11111
553248635754766721,City,,,Mulhurst,"Mulhurst, Alberta, Canada",11111
553248635921782950,City,,,Warner,"Warner, Alberta, Canada",11111
553248635921783002,City,,,Hill Spring,"Hill Spring, Alberta, Canada",11111
553248635921963468,City,,,Brocket,"Brocket, Alberta, Canada",11111
553248635921963550,City,,,Brocket,"Brocket, Alberta, Canada",11111
553248635921963819,City,,,Cowley,"Cowley, Alberta, Canada",11111
553248635921964176,City,,,Manyberries,"Manyberries, Alberta, Canada",11111
553248635921964251,City,,,Stirling,"Stirling, Alberta, Canada",11111
553248635921964288,City,,,Picture Butte,"Picture Butte, Alberta, Canada",11111
553248635921964637,City,,,Turin,"Turin, Alberta, Canada",11111
553248635921965161,City,,,Lomond,"Lomond, Alberta, Canada",11111
553248635921965379,City,,,Leavitt,"Leavitt, Alberta, Canada",11111
553248635922159983,City,,,Alhambra,"Alhambra, Alberta, Canada",11111
553248635922159990,City,,,Clive,"Clive, Alberta, Canada",11111
553248635922160149,City,,,Cadomin,"Cadomin, Alberta, Canada",11111
553248635922160224,City,,,Foothills,"Foothills, Alberta, Canada",11111
553248635922160269,City,,,Telfordville,"Telfordville, Alberta, Canada",11111
553248635922160273,City,,,Cherry Grove,"Cherry Grove, Alberta, Canada",11111
553248635922160287,City,,,Innisfree,"Innisfree, Alberta, Canada",11111
553248635922160394,City,,,Alsike,"Alsike, Alberta, Canada",11111
553248635922160422,City,,,Tofield,"Tofield, Alberta, Canada",11111
553248635922160430,City,,,Fallis,"Fallis, Alberta, Canada",11111
553248635922160439,City,,,Chisholm,"Chisholm, Alberta, Canada",11111
553248635922160445,City,,,Mitsue,"Mitsue, Alberta, Canada",11111
553248635922160447,City,,,Grouard,"Grouard, Alberta, Canada",11111
553248635922160448,City,,,Alberta Beach,"Alberta Beach, Alberta, Canada",11111
553248635922160456,City,,,Nampa,"Nampa, Alberta, Canada",11111
553248635922160480,City,,,Keg River,"Keg River, Alberta, Canada",11111
553248635922160512,City,,,Cereal,"Cereal, Alberta, Canada",11111
553248635922160514,City,,,Wildwood,"Wildwood, Alberta, Canada",11111
553248635922160518,City,,,Evansburg,"Evansburg, Alberta, Canada",11111
553248635922160569,City,,,Meander River,"Meander River, Alberta, Canada",11111
553248635950824820,City,,,Cline River,"Cline River, Alberta, Canada",11111
553248635964616096,City,,,Sunbreaker Cove,"Sunbreaker Cove, Alberta, Canada",11111
553248635974882717,City,,,Parkland Beach,"Parkland Beach, Alberta, Canada",11111
6072223,Point of Interest,,tree,Peyto Lake,"Peyto Lake, Bow Lake, Alberta, Canada",11111
6072345,Point of Interest,,tree,Mount Edith Cavell,"Mount Edith Cavell, Jasper, Alberta, Canada",11111
6072355,Point of Interest,,tree,Athabasca Falls,"Athabasca Falls, Jasper, Alberta, Canada",11111
6089271,Point of Interest,,tree,Dinosaur Provincial Park,"Dinosaur Provincial Park, Brooks, Alberta, Canada",11111
6089273,Point of Interest,,skiing,Fortress Mountain Ski Resort,"Fortress Mountain Ski Resort, Kananaskis, Alberta, Canada",11111
6089275,Point of Interest,,tree,Wood Buffalo National Park,"Wood Buffalo National Park, Alberta, Canada",11111
6089351,Point of Interest,,tree,Elk Island National Park,"Elk Island National Park, Edmonton, Alberta, Canada",11111
6089361,Point of Interest,,skiing,Silver Summit,"Silver Summit, Edson, Alberta, Canada",11111
6089395,Point of Interest,,tree,Jasper National Park,"Jasper National Park, Canada",11111
6089415,Point of Interest,,icecream,Head-Smashed-In Buffalo Jump,"Head-Smashed-In Buffalo Jump, Fort Macleod, Alberta, Canada",11111
6144726,Point of Interest,,tree,Canmore Nordic Centre Provincial Park,"Canmore Nordic Centre Provincial Park, Alberta, Canada",11111
6180712,Point of Interest,,golf,Athabasca Golf and Country Club,"Athabasca Golf and Country Club, Athabasca, Alberta, Canada",11111
6180717,Point of Interest,,tree,Meanook National Wildlife Area,"Meanook National Wildlife Area, Athabasca, Alberta, Canada",11111
6184284,Point of Interest,,museums,Heritage Acres Farm Museum,"Heritage Acres Farm Museum, Pincher Creek, Alberta, Canada",11111
6187287,Point of Interest,,golf,Drayton Valley Golf Club,"Drayton Valley Golf Club, Drayton Valley, Alberta, Canada",11111
6188089,Point of Interest,,museums,Lac Cardinal Regional Pioneer Village Museum,"Lac Cardinal Regional Pioneer Village Museum, Grimshaw, Alberta, Canada",11111
6188158,Point of Interest,,golf,High Prairie Golf Course,"High Prairie Golf Course, High Prairie, Alberta, Canada",11111
6190449,Point of Interest,,golf,Gilwood Golf and Country Club,"Gilwood Golf and Country Club, Slave Lake, Alberta, Canada",11111
6190451,Point of Interest,,sunglass,Devonshire Beach,"Devonshire Beach, Alberta, Canada",11111
6190461,Point of Interest,,museums,St. Paul Historical Museum,"St. Paul Historical Museum, St. Paul, Alberta, Canada",11111
6190559,Point of Interest,,golf,Lakewood Golf Club,"Lakewood Golf Club, Sylvan Lake, Alberta, Canada",11111
6190562,Point of Interest,,golf,Top O' The Hill Golf Course,"Top O' The Hill Golf Course, Sylvan Lake, Alberta, Canada",11111
6190636,Point of Interest,,golf,Vermilion Golf and Country Club,"Vermilion Golf and Country Club, Vermilion, Alberta, Canada",11111
6190642,Point of Interest,,tree,Wainwright Rail Park,"Wainwright Rail Park, Wainwright, Alberta, Canada",11111
6190670,Point of Interest,,golf,Westlock Golf Club,"Westlock Golf Club, Westlock, Alberta, Canada",11111
6191307,Point of Interest,,stadium,Edmonton International Raceway,"Edmonton International Raceway, Wetaskiwin, Alberta, Canada",11111
6191315,Point of Interest,,tree,Carson-Pegasus Provincial Park,"Carson-Pegasus Provincial Park, Whitecourt, Alberta, Canada",11111
6191319,Point of Interest,,golf,Whitecourt Golf and Country Club,"Whitecourt Golf and Country Club, Alberta, Canada",11111
6191662,Point of Interest,,golf,Three Hills Golf Club,"Three Hills Golf Club, Three Hills, Alberta, Canada",11111
6191968,Point of Interest,,tree,Williamson Provincial Park,"Williamson Provincial Park, Valleyview, Alberta, Canada",11111
6236633,Point of Interest,,tree,Iosegun Lake,"Iosegun Lake, Fox Creek, Alberta, Canada",11111
6242215,Point of Interest,,tree,Sundre Red Deer Natural Area,"Sundre Red Deer Natural Area, Sundre, Alberta, Canada",11111
6252943,Point of Interest,,skiing,Mystic Express Ski Lift,"Mystic Express Ski Lift, Banff, Alberta, Canada",11111
6260940,Point of Interest,,tree,Medicine Lake,"Medicine Lake, Jasper, Alberta, Canada",11111
6260943,Point of Interest,,tree,Tangle Falls,"Tangle Falls, Jasper National Park South Entrance, Alberta, Canada",11111
6260948,Point of Interest,,tree,Lake Minnewanka,"Lake Minnewanka, Banff, Alberta, Canada",11111
6270070,Point of Interest,,tree,William A. Switzer Provincial Park,"William A. Switzer Provincial Park, Alberta, Canada",11111
6276467,Point of Interest,,historic,Ukrainian Cultural Heritage Village,"Ukrainian Cultural Heritage Village, Sherwood Park, Alberta, Canada",11111
6276470,Point of Interest,,historic,Jurassic Forest,"Jurassic Forest, Edmonton, Alberta, Canada",11111
6283096,Point of Interest,,tree,Grotto Canyon Trailhead,"Grotto Canyon Trailhead, Canmore, Alberta, Canada",11111
6290530,Point of Interest,,tree,Miette Hot Springs,"Miette Hot Springs, Pocahontas, Alberta, Canada",11111
6296254,Point of Interest,,casino,Apex Casino,"Apex Casino, Edmonton, Alberta, Canada",11111
6296286,Point of Interest,,icecream,Amazing Corn Maze,"Amazing Corn Maze, Leduc, Alberta, Canada",11111
6296292,Point of Interest,,tree,Devonian Botanical Garden,"Devonian Botanical Garden, Edmonton, Alberta, Canada",11111
6296304,Point of Interest,,golf,Blackhawk Golf Club,"Blackhawk Golf Club, Spruce Grove, Alberta, Canada",11111
6296357,Point of Interest,,museums,Leduc no.1 Energy Discovery Centre,"Leduc no.1 Energy Discovery Centre, Leduc, Alberta, Canada",11111
6296390,Point of Interest,,tree,Wagner Natural Area,"Wagner Natural Area, Spruce Grove, Alberta, Canada",11111
6297899,Point of Interest,,golf,Legends Golf and Country Club,"Legends Golf and Country Club, Sherwood Park, Alberta, Canada",11111
6297924,Point of Interest,,golf,Northern Bear Golf Club,"Northern Bear Golf Club, Sherwood Park, Alberta, Canada",11111
6298690,Point of Interest,,historic,Alberta Heritage Exposition Park,"Alberta Heritage Exposition Park, Leduc, Alberta, Canada",11111
6323667,Point of Interest,,icecream,Evergreen Park,"Evergreen Park, Alberta, Canada",11111
553248621532651722,Point of Interest,,,Mt. Clements,"Mt. Clements, Alberta, Canada",11111
553248621532863715,Point of Interest,,,Nitehawk Recreation Area,"Nitehawk Recreation Area, Alberta, Canada",11111
553248621532863735,Point of Interest,,,Taylor Lake,"Taylor Lake, Alberta, Canada",11111
553248621532863737,Point of Interest,,,Ink Pots Hiking Trail,"Ink Pots Hiking Trail, Alberta, Canada",11111
553248621532863739,Point of Interest,,,Goat's Eye Mountain,"Goat's Eye Mountain, Alberta, Canada",11111
553248621532863740,Point of Interest,,,Cory and Edith Passes,"Cory and Edith Passes, Alberta, Canada",11111
553248621532863743,Point of Interest,,,Ha Ling Peak,"Ha Ling Peak, Alberta, Canada",11111
553248621532863841,Point of Interest,,,Carthew - Alderson Trail,"Carthew - Alderson Trail, Alberta, Canada",11111
553248621532863842,Point of Interest,,,Cameron Lake,"Cameron Lake, Canadian Rockies, Canada",11111
553248621532863843,Point of Interest,,,Upper Waterton Lake,"Upper Waterton Lake, Canadian Rockies, Canada",11111
